features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day', 'year')",7,0.420223714039142,0.41873749037586816,1.1223192002559972,1.1181474208518112
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'year')",6,0.4202240901960363,0.4187380360643534,1.1223193961925428,1.1181461642925243
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'quarter')",6,0.4202251333616127,0.41873847938125125,1.1223203342418613,1.118164689047171
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'day', 'quarter')",7,0.4202252854620467,0.41873870311718675,1.1223200355553355,1.1181662007809081
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day', 'year', 'quarter')",7,0.42022950795894365,0.4187443245189582,1.1223181010079846,1.11814557934092
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day', 'year', 'quarter')",8,0.4202299882349181,0.4187443527283756,1.122314685205095,1.1181454481445658
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'year', 'quarter')",7,0.42023000872124583,0.41874443268291567,1.1223148848455922,1.11814417728069
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'year', 'quarter')",6,0.4202299148321715,0.4187449377622197,1.1223183038547893,1.118144301107713
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'year')",5,0.4202302493612069,0.41876602493289455,1.1221296998663843,1.117961077318714
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'day', 'year')",6,0.4202297587459412,0.41876613373936,1.1221294943576094,1.1179624256922205
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour')",5,0.4202268116766912,0.41877043473414743,1.1221178358999704,1.1179601402574155
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day')",6,0.4202270555411995,0.4187708943741828,1.1221175480443044,1.1179616925158
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek')",5,0.42025656795521515,0.4187786445264002,1.1223002352140083,1.1181427549569196
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day')",6,0.42025674637237287,0.41877889990601874,1.1222999796857915,1.1181441804832142
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month')",6,0.4202332437076557,0.4187798452010538,1.12211717980554,1.1179573125404934
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day')",7,0.4202334999892767,0.4187803584404665,1.122116875189896,1.1179588732983985
