features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'day', 'quarter')",7,0.09597803953567012,0.09570084780670252,0.26367847088467306,0.2629478682663114
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'quarter')",6,0.09597802074897574,0.09570092690434287,0.26367854712756283,0.26294749424975444
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day', 'year')",7,0.09598482092783174,0.09570267309250655,0.2637217121276404,0.2629913510297261
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'year')",6,0.09598496913840576,0.0957029291097447,0.2637217618471848,0.26299105109638304
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day', 'year', 'quarter')",7,0.09598623887832244,0.09570429447629272,0.2637214481132571,0.2629908689345636
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'year', 'quarter')",6,0.09598638719157469,0.09570456374490839,0.26372149952178914,0.26299056422336453
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day', 'year', 'quarter')",8,0.09598631867364153,0.09570470771996452,0.26372065496216374,0.26299064346873025
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'year', 'quarter')",7,0.0959863813626782,0.09570494446834418,0.263720705593874,0.26299034030190777
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'day', 'year')",6,0.09598663318322709,0.09570605588047815,0.2637238768158699,0.2629976455518777
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'year')",5,0.0959868806090154,0.09570643281206472,0.2637239290533346,0.26299733352701304
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day')",6,0.09598572127365983,0.09570693079762496,0.263719378982339,0.2629921091259965
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek')",5,0.09598575968561136,0.09570712100402046,0.26371944162809763,0.2629917727072712
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day')",7,0.09598717383120106,0.09570853745293302,0.2637192635247263,0.2629915447250263
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month')",6,0.09598721160524477,0.09570873188608076,0.2637193294101941,0.262991207846371
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'day', 'year')",7,0.09598917881360423,0.0957088455878779,0.2637236808377025,0.2629968884150701
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'year')",6,0.09598942180359267,0.0957092526192677,0.2637237363705853,0.26299657318974046
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'day', 'year')",6,0.09598861475750958,0.09571000054662793,0.26367848287108925,0.2629486562968713
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'quarter')",7,0.09598856767650747,0.09571009268937064,0.26371903319404455,0.2629910595536597
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'year')",5,0.09598868139019914,0.09571013867442656,0.2636785355836689,0.26294833287434843
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'quarter')",6,0.09598861111867539,0.09571028848545718,0.2637191013770384,0.26299071711090877
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'day', 'year', 'quarter')",7,0.09599063674670842,0.095710558041273,0.26372343108938184,0.26299643385428917
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'year', 'quarter')",6,0.09599087279638142,0.09571096796714254,0.263723488349079,0.26299611402416234
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day')",6,0.09598611544526353,0.09571097768759616,0.2636773824890004,0.26294949486433133
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'day', 'year', 'quarter')",8,0.09599054186211665,0.09571105899996732,0.26372269440676505,0.2629962490173475
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour')",5,0.09598613517073576,0.09571118688030869,0.2636774535852555,0.2629491277495992
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'year', 'quarter')",7,0.0959907218365083,0.09571139568803569,0.2637227508998096,0.26299593055929626
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'quarter')",8,0.0959896895103705,0.09571158961412392,0.263718097778086,0.2629907691146931
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'quarter')",7,0.09598965828765162,0.09571173307601152,0.26371816388560915,0.26299043072315276
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'day', 'year')",7,0.0959914261542427,0.09571301223091473,0.26367818947091587,0.26294767428648846
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day')",7,0.0959880007178684,0.09571304073019868,0.26367720349210133,0.2629487610627882
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'year')",6,0.09599148511599964,0.09571316633691473,0.26367824625085257,0.2629473455599357
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month')",6,0.09598799201312483,0.09571326389321344,0.26367727890248316,0.26294839205241743
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'day', 'year', 'quarter')",7,0.0959930707872788,0.09571486796088753,0.2636778698970742,0.26294714563546834
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'quarter')",7,0.09598964995246813,0.0957149050321365,0.2636769186808085,0.2629482264354959
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'year', 'quarter')",6,0.09599313442349225,0.0957150336621181,0.2636779285516027,0.2629468118056762
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'quarter')",6,0.095989638418295,0.09571511122465745,0.2636769966349806,0.26294785151988986
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'day', 'year', 'quarter')",8,0.0959938714638999,0.09571623692381158,0.2636770374078207,0.26294691655916663
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'year', 'quarter')",7,0.09599391555658206,0.09571637151339366,0.26367709523776417,0.2629465842351088
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'quarter')",8,0.09599142780649202,0.09571729252599924,0.26367592590362515,0.2629479191508573
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'quarter')",7,0.09599141979045447,0.09571738773378517,0.26367600160503124,0.26294754835076695
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day')",6,0.09599754019568196,0.09571973015488268,0.26367318138707646,0.26294237792752456
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek')",5,0.09599743304643513,0.09571975165582892,0.26367324544243675,0.26294202767368985
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day')",7,0.09599931834093377,0.09572172584900066,0.263672995998024,0.26294162226362044
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month')",6,0.09599920240943635,0.09572173734555445,0.2636730642246765,0.26294126951825453
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'year')",7,0.09600144381072798,0.09572242906274302,0.2637181231616381,0.2629914828958516
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'year')",6,0.09600156441337533,0.09572271472242169,0.26371816945296284,0.26299118918416925
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'quarter')",7,0.09600089740759835,0.09572366805074188,0.2636726952105885,0.262941057983283
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'quarter')",6,0.09600078131723981,0.09572367569621901,0.2636727659350895,0.2629406991301396
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'year')",8,0.09600380032384664,0.0957250260816084,0.26371792431071067,0.26299071636316446
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'year')",7,0.09600392534412915,0.09572528823433375,0.26371797372957545,0.2629904190425197
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'year')",7,0.09600177510725591,0.09572615793694733,0.263675938514382,0.2629486959384431
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'year')",6,0.0960018664602317,0.09572635685403447,0.2636759909421495,0.26294837502482826
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'quarter')",7,0.0960025153030215,0.09572637405128469,0.2636717006605891,0.2629403465834985
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'quarter')",8,0.09600267036832746,0.09572639478725287,0.2636716321875903,0.2629407010157258
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'year', 'quarter')",8,0.09600520255743632,0.09572664236909648,0.263717664784619,0.2629902423104396
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'year', 'quarter')",7,0.0960053295762137,0.0957269273757949,0.2637177158730996,0.2629899402783151
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'year', 'quarter')",9,0.09600525442067803,0.09572706166399965,0.2637168850896262,0.262990021624713
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'year', 'quarter')",8,0.09600531457609188,0.09572732847637286,0.2637169354108437,0.2629897211089755
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'year')",8,0.09600457033410986,0.09572914639414287,0.26367564976868585,0.2629477272934703
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'year')",7,0.09600466552367082,0.09572933048255393,0.26367570622031683,0.26294740117426835
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'year', 'quarter')",8,0.09600620218366997,0.09573097017862482,0.26367533500708706,0.2629472054781155
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'year', 'quarter')",7,0.09600630096941101,0.09573116014674693,0.2636753933145214,0.2629468743179956
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'year', 'quarter')",9,0.09600702629672557,0.09573229687029364,0.26367451449777357,0.2629469791632656
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'year', 'quarter')",8,0.09600709786167722,0.09573245637889317,0.26367457198979455,0.26294664948237184
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day')",7,0.09600970818547977,0.09573477300132231,0.26367073095198346,0.26294246534436766
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek')",6,0.09600961472899566,0.09573481333410516,0.26367079461669746,0.2629421178658544
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'year')",7,0.09601350149305488,0.09573579210681632,0.2636717077704529,0.2629415781244225
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'year')",6,0.09601347969665003,0.09573582509261813,0.26367175401124715,0.2629412752635845
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day')",8,0.09601147384969164,0.0957368208241135,0.2636705484763878,0.2629417198325397
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month')",7,0.09601137197495324,0.09573689285435405,0.2636706162666639,0.26294136992841854
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'quarter')",8,0.09601306945715703,0.09573874684589719,0.26367025216611384,0.26294116269668877
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'year')",8,0.09601610064548242,0.09573877615510981,0.26367140965057667,0.26294058293254363
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'quarter')",7,0.09601296501827193,0.09573881483102625,0.26367032242866717,0.26294080675819453
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'year')",7,0.09601607309608579,0.09573883347276539,0.26367145973546097,0.2629402742847037
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'year', 'quarter')",8,0.09601766212724795,0.0957406995911432,0.26367107721923183,0.2629400307764168
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'year', 'quarter')",7,0.09601765067866341,0.09574075863446758,0.2636711291093953,0.2629397169046273
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'quarter')",9,0.09601484561748147,0.09574122392876075,0.26366920432647356,0.2629408096893525
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'quarter')",8,0.09601469078326727,0.09574125091272348,0.2636692723622833,0.2629404581068548
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'year', 'quarter')",9,0.0960183976672651,0.09574215836232744,0.26367019448507156,0.2629397602148154
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'year', 'quarter')",8,0.09601833754784622,0.09574221625915576,0.26367024555247137,0.26293944801280167
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'year')",8,0.09602534533999645,0.09575063798816037,0.26366927952453695,0.26294167476382935
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'year')",7,0.09602531936168433,0.09575070329038086,0.26366932555782713,0.2629413740519569
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'year')",9,0.09602797617732162,0.0957535931023313,0.2636689860290355,0.2629406927493098
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'year')",8,0.09602797429569306,0.09575368740333934,0.26366903586764395,0.2629403863528607
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'year', 'quarter')",9,0.09602955040453336,0.09575541559968105,0.2636686585042538,0.2629401474985717
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'year', 'quarter')",8,0.09602953903485667,0.0957555328474284,0.2636687101310012,0.2629398359406742
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'year', 'quarter')",10,0.09603028111399016,0.09575666706713633,0.26366778825144377,0.2629398798706191
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'year', 'quarter')",9,0.09603023142486028,0.09575672877928054,0.2636678390639902,0.262939569954569
"('rolling_24_std', 'lag_1')",2,0.09630939094516863,0.09604022105019232,0.26521150095547785,0.26439415403162353
"('rolling_24_std', 'lag_1', 'day')",3,0.09630959712825415,0.0960406236144607,0.26521142227686934,0.26439454345051805
